     Ep        Loss          LR     Time
  ---------------------------------------------
    207      0.0155    2.41e-04     3.5s
    208      0.0154    2.36e-04     3.5s
    209      0.0154    2.31e-04     3.5s
    210      0.0154    2.27e-04     3.5s
    211      0.0156    2.22e-04     3.5s
    212      0.0156    2.17e-04     3.5s
    213      0.0154    2.13e-04     3.5s
    214      0.0153    2.08e-04     3.5s
    215      0.0150    2.04e-04     3.5s
    216      0.0153    1.99e-04     3.4s
    217      0.0153    1.95e-04     3.4s
    218      0.0152    1.91e-04     3.5s
    219      0.0153    1.86e-04     3.5s
    220      0.0160    1.82e-04     3.5s
    221      0.0154    1.78e-04     3.5s
    222      0.0152    1.74e-04     3.5s
    223      0.0153    1.70e-04     3.5s
    224      0.0155    1.65e-04     3.4s
    225      0.0151    1.61e-04     3.5s
    226      0.0151    1.57e-04     3.5s
    227      0.0153    1.53e-04     3.4s
    228      0.0151    1.49e-04     3.5s
    229      0.0154    1.45e-04     3.4s
    230      0.0153    1.42e-04     3.5s
    231      0.0153    1.38e-04     3.4s
    232      0.0152    1.34e-04     3.4s
    233      0.0150    1.30e-04     3.5s
    234      0.0151    1.27e-04     3.5s
    235      0.0149    1.23e-04     3.6s
    236      0.0153    1.19e-04     3.5s
    237      0.0149    1.16e-04     3.6s
    238      0.0151    1.12e-04     3.5s
    239      0.0150    1.09e-04     3.6s
    240      0.0151    1.05e-04     3.4s
    241      0.0150    1.02e-04     3.4s
    242      0.0151    9.88e-05     3.4s
    243      0.0150    9.55e-05     3.4s
    244      0.0151    9.23e-05     3.4s
    245      0.0152    8.91e-05     3.4s
    246      0.0151    8.60e-05     3.5s
    247      0.0150    8.29e-05     3.5s
    248      0.0148    7.99e-05     3.5s
    249      0.0149    7.70e-05     3.5s
    250      0.0150    7.40e-05     3.5s
    251      0.0150    7.12e-05     3.5s
    252      0.0148    6.84e-05     3.5s
    253      0.0149    6.56e-05     3.5s
    254      0.0150    6.29e-05     3.5s
    255      0.0149    6.03e-05     3.5s
    256      0.0149    5.77e-05     3.5s
    257      0.0148    5.51e-05     3.5s
    258      0.0149    5.26e-05     3.5s
    259      0.0149    5.02e-05     3.5s
    260      0.0148    4.78e-05     3.4s
    261      0.0147    4.55e-05     3.5s
    262      0.0148    4.32e-05     3.5s
    263      0.0148    4.10e-05     3.5s
    264      0.0148    3.89e-05     3.5s
    265      0.0148    3.68e-05     3.5s
    266      0.0147    3.47e-05     3.5s
    267      0.0148    3.27e-05     3.5s
